epoch_time,corrupt_magn,missing_type,LaX,LaY,LaZ,LqX,LqY,LqZ,HaX,HaY,HaZ,HqX,HqY,HqZ,RaX,RaY,RaZ,RqX,RqY,RqZ
453366,0,0,113,-741,402,-19713,6453,-11657,-497,-854,234,-22854,-1927,8132,152,-890,-117,-10689,-20375,-8757
453376,0,0,105,-786,386,-19601,6506,-11741,-497,-837,234,-22802,-1501,7907,292,-942,-35,-11664,-20060,-7505
453386,0,0,95,-890,363,-19519,6567,-11791,-497,-901,187,-22800,-1314,7912,363,-931,46,-12565,-19715,-6322
453396,0,0,54,-979,329,-19456,6636,-11804,-538,-860,169,-22837,-1281,8042,439,-960,81,-13402,-19356,-5219
453406,0,0,11,-1102,290,-19408,6728,-11781,-527,-837,204,-22855,-1138,8070,515,-1001,128,-14199,-18994,-4187
453416,0,0,-42,-1188,261,-19392,6752,-11747,-532,-819,210,-22855,-914,8009,609,-983,122,-14978,-18617,-3440
453426,0,0,-74,-1165,216,-19359,6770,-11709,-532,-831,199,-22868,-738,8002,737,-954,81,-15744,-18270,-2878
453436,0,0,-95,-1098,210,-19289,6847,-11652,-550,-849,175,-22909,-662,8093,907,-960,29,-16485,-17954,-2270
453446,0,0,-111,-991,197,-19184,6995,-11577,-585,-866,175,-22983,-714,8330,1077,-995,0,-17198,-17660,-1616
453456,0,0,-111,-899,189,-19068,7154,-11503,-562,-884,216,-22996,-529,8345,1200,-1042,-35,-17878,-17383,-926
453466,0,0,-99,-823,183,-18975,7258,-11434,-573,-802,169,-23019,-372,8362,1329,-1112,-76,-18529,-17119,-216
453476,0,0,-83,-763,189,-18910,7307,-11365,-556,-784,152,-23067,-302,8441,1440,-1159,-99,-19148,-16873,488
453486,0,0,-66,-733,175,-18862,7360,-11286,-579,-825,175,-23107,-218,8514,1581,-1177,-111,-19732,-16640,1166
453496,0,0,-56,-716,177,-18829,7417,-11200,-597,-854,199,-23115,-66,8556,1721,-1223,-111,-20285,-16398,1817
453506,0,0,-35,-700,177,-18811,7476,-11107,-614,-831,169,-23142,-1,8670,1844,-1264,-46,-20809,-16124,2447
453516,0,0,-11,-722,171,-18809,7536,-11009,-609,-843,169,-23176,37,8812,1909,-1223,76,-21314,-15823,3054
453526,0,0,13,-755,173,-18820,7598,-10909,-597,-808,216,-23126,387,8664,1950,-1089,281,-21809,-15510,3631
453536,0,0,35,-794,162,-18843,7656,-10802,-591,-796,228,-23026,909,8359,1944,-925,450,-22295,-15179,4189
