epoch_time,corrupt_magn,missing_type,LaX,LaY,LaZ,LqX,LqY,LqZ,HaX,HaY,HaZ,HqX,HqY,HqZ,RaX,RaY,RaZ,RqX,RqY,RqZ
433526,0,0,-3,-1005,154,-20029,8307,-9363,-462,-860,251,2332,20312,-23903,609,-737,251,-18123,9121,-23528
433536,0,0,-19,-1005,148,-20025,8325,-9370,-462,-866,251,2336,20315,-23902,603,-737,245,-18121,9123,-23527
433546,0,0,-21,-999,152,-20017,8347,-9378,-462,-860,245,2338,20317,-23901,609,-743,240,-18124,9122,-23524
433556,0,0,-13,-997,158,-20011,8363,-9381,-462,-872,251,2340,20318,-23902,603,-743,245,-18125,9120,-23520
433566,0,0,-17,-1001,152,-20003,8388,-9397,-450,-878,251,2337,20318,-23904,603,-737,245,-18129,9114,-23515
433576,0,0,-15,-1003,154,-19989,8424,-9426,-456,-872,257,2333,20319,-23902,597,-732,251,-18130,9110,-23512
433586,0,0,-9,-1007,146,-19988,8435,-9432,-462,-860,251,2338,20318,-23903,603,-732,240,-18132,9106,-23509
433597,0,0,-5,-1015,142,-19996,8428,-9416,-462,-866,251,2339,20317,-23904,597,-743,245,-18129,9111,-23509
433607,0,0,-5,-1016,142,-20004,8420,-9398,-456,-866,251,2342,20314,-23907,603,-743,245,-18130,9113,-23508
433617,0,0,-1,-1022,142,-20007,8418,-9391,-456,-866,251,2344,20314,-23907,603,-743,245,-18128,9119,-23510
433627,0,0,-15,-1018,144,-20002,8427,-9392,-456,-866,245,2343,20318,-23904,597,-743,251,-18123,9124,-23514
433637,0,0,-5,-1018,152,-19990,8445,-9410,-456,-866,251,2345,20317,-23905,609,-743,240,-18122,9129,-23515
433647,0,0,-7,-1018,158,-19984,8445,-9409,-456,-866,251,2344,20316,-23905,603,-732,245,-18121,9133,-23517
433657,0,0,-1,-1020,162,-19982,8437,-9401,-462,-860,251,2347,20314,-23907,603,-732,245,-18122,9132,-23517
433667,0,0,-3,-1018,163,-19974,8437,-9404,-462,-860,245,2350,20313,-23907,597,-737,245,-18118,9135,-23519
433677,0,0,-7,-1009,162,-19965,8440,-9411,-462,-860,245,2352,20314,-23905,597,-737,245,-18110,9149,-23527
433687,0,0,-9,-1003,165,-19956,8444,-9416,-450,-866,245,2355,20314,-23906,603,-732,240,-18108,9158,-23530
433697,0,0,-7,-999,162,-19930,8489,-9470,-445,-860,245,2357,20315,-23907,597,-737,245,-18106,9162,-23530
433707,0,0,-9,-993,163,-19911,8513,-9502,-462,-860,245,2358,20314,-23907,597,-737,245,-18103,9165,-23532
433717,0,0,-7,-991,158,-19904,8518,-9508,-456,-860,245,2360,20312,-23908,597,-743,240,-18102,9171,-23532
433727,0,0,-7,-991,156,-19903,8511,-9502,-462,-860,245,2361,20312,-23908,603,-743,240,-18101,9178,-23530
433737,0,0,-3,-995,156,-19890,8534,-9535,-462,-860,245,2362,20313,-23907,603,-737,240,-18105,9175,-23527
433747,0,0,3,-997,163,-19892,8518,-9525,-456,-872,251,2363,20314,-23906,603,-737,240,-18110,9173,-23524
433757,0,0,1,-1003,158,-19894,8509,-9521,-450,-860,251,2361,20313,-23908,603,-737,245,-18107,9184,-23527
433767,0,0,-3,-999,156,-19895,8501,-9516,-456,-860,245,2361,20313,-23908,597,-743,240,-18097,9207,-23536
433777,0,0,-11,-1003,156,-19897,8493,-9505,-456,-866,245,2363,20313,-23909,597,-743,234,-18089,9229,-23544
433787,0,0,-15,-995,163,-19899,8481,-9488,-450,-866,251,2362,20314,-23910,603,-737,240,-18081,9249,-23554
433798,0,0,-11,-997,165,-19896,8480,-9484,-450,-860,257,2357,20312,-23911,597,-737,240,-18077,9261,-23560
433808,0,0,-17,-999,162,-19883,8509,-9512,-450,-866,257,2353,20310,-23913,597,-737,240,-18076,9265,-23561
