LTime,LaX,LaY,LaZ,LqW,LqX,LqY,LqZ,HaX,HaY,HaZ,HqW,HqX,HqY,HqZ,RaX,RaY,RaZ,RqW,RqX,RqY,RqZ
2490271,-202,-1007,243,-0.5251328,0.7141165,0.09346122,-0.45336318,-19,994,-268,0.17978784,0.22089013,0.7656599,0.5767571,-227,920,-312,-0.52456653,-0.49415505,-0.51839095,-0.4603386
2490349,-233,-988,240,-0.53364515,0.7092512,0.09451017,-0.45083636,10,982,-271,0.17920902,0.22192223,0.76547784,0.5767827,-229,942,-301,-0.52201396,-0.49235654,-0.5236126,-0.4592562
2490466,-295,-989,233,-0.5458145,0.70136935,0.096993886,-0.44806224,31,958,-271,0.17813298,0.2239717,0.76506823,0.57686734,-239,983,-243,-0.5188811,-0.48929408,-0.53046143,-0.4582187
2490544,-339,-992,244,-0.5535267,0.6959531,0.099027365,-0.4465994,50,932,-274,0.17717044,0.22532985,0.76487577,0.57689005,-239,983,-232,-0.5170125,-0.48737022,-0.53466016,-0.45750076
2490661,-421,-978,241,-0.56354123,0.68812364,0.10224333,-0.4454811,58,925,-282,0.17566022,0.22739562,0.7647103,0.5767607,-224,939,-272,-0.51349735,-0.48552403,-0.5412807,-0.45563382
2490778,-468,-927,243,-0.5693367,0.68286926,0.10401982,-0.44578594,59,923,-271,0.1746727,0.22878142,0.76459676,0.57666314,-251,890,-311,-0.5088194,-0.48161092,-0.5502785,-0.4542547
2490895,-509,-850,238,-0.5772796,0.67458,0.10611338,-0.4476941,60,926,-270,0.1732328,0.23083928,0.7643774,0.5765682,-260,870,-319,-0.50577945,-0.47902122,-0.5560049,-0.45341417
2490973,-539,-829,227,-0.5822425,0.6687722,0.10716027,-0.44972655,-376,711,832,0.1697154,0.2293165,0.76715314,0.5745317,-252,860,-305,-0.50170404,-0.4757378,-0.5634773,-0.45217252
2491090,-586,-820,197,-0.58821446,0.6604698,0.10924441,-0.45370588,-76,777,-16,0.16879964,0.2366234,0.7686628,0.5698013,-258,882,-287,-0.49940512,-0.47393715,-0.5676389,-0.45140243
2491168,-617,-817,194,-0.5913166,0.65565753,0.11057738,-0.45632285,56,763,-406,0.16282329,0.23146974,0.77242625,0.5685667,-256,904,-295,-0.49613002,-0.47248,-0.57286,-0.44994333
2491285,-651,-758,146,-0.59325016,0.65020525,0.112344295,-0.46115744,71,756,-399,0.15521687,0.22513102,0.7771746,0.5667657,-236,902,-302,-0.4938882,-0.4714606,-0.57626766,-0.44912687
2491363,-658,-682,120,-0.5928119,0.64741117,0.11335848,-0.46538445,101,719,-393,0.15204953,0.22191374,0.7790877,0.56626636,-238,899,-294,-0.49120656,-0.4699416,-0.5806126,-0.4480625
2491519,-688,-645,82,-0.590122,0.6440689,0.11513658,-0.4729427,103,712,-387,0.14743596,0.21688025,0.78180045,0.5656975,-246,928,-259,-0.4898353,-0.46907473,-0.58291984,-0.44747603
2491597,-697,-579,55,-0.587144,0.6424151,0.11627685,-0.4785858,130,701,-384,0.14451149,0.21339862,0.78341424,0.5655436,-231,931,-255,-0.4879415,-0.46883145,-0.58563405,-0.44625437
